appid;recommendationid;original_review;error
105600;2454739;Arcade fantasy fun in a lively sandbox environment that invites experimentation.  They say it's like Minecraft 2D, but I've never played Minecraft so I dunno.;
105600;3929442;This game is so awesome! Hours of fun!;
105600;4836493;"One of the best games i've ever played.
And the game is getting better with every update.

Still keeps going with the updates.";
105600;3683085;This game is awesome!!! it's a rpg style game with lots of cool items like rocket boots, grapple hooks, and swords that shoot stars from the sky!!! just make sure your ready for the boss fights!;
105600;864634;"Decent game, very freeform with few set goals
2d minecraft";
105600;430579;Minecraft meets Zelda, wildly addictive!;
105600;3732424;asdf;
105600;85525;"You have to try this game out, the opportunities is insane.
Build your own world! :D";
105600;2571169;fantastic to anyone that loves the sprite style, cant wait for add ons;
105600;916145;This is one of the best Sandbox/Adventure games I've ever played. It's simply fantastic. The randomly generated worlds can be shaped at your leisure . You can build a magnificient castle on the surface, or an underground lair. There's bosses to fight, dungeons to explore, treasure to find in the caves, and even a hidden jungle deep in the underground. You can even visit the underworld. And you can do it all with up to 8 players in multiplayer. There's even PvP gameplay if you want. It's great fun tearing one of the bosses up with friends. And you get free content updates for life when you spend your $10 on this. I can think of no better game at this price.;
105600;1785546;This Is The Game Where You Kiss Boys;
105600;4006183;If you like sandbox games like minecraft. as long u can get use to the 2D this is a great game. online mode is fun with  friend(s) and alot to do other then just mining and building;
105600;4632204;Multiplayer is really fun.;
105600;4816892;"Great game. Fun updates to come!

Edit:
Great updates came!";
105600;1605013;"[i]Terraria[/i] is a straight-up ugly 2D sandbox game, full of too much randomly-generated junk and not nearly enough fun. I played it for 30 hours, but I don't think it ever really held my attention. Most ""adventure builder"" games make you rack up an assload of unnecessary playtime as you hunt for basic resources and tediously comb through pages of craftables, all while dealing with the game's utterly arcane mechanics; [i]Terraria[/i] is no exception. Combat never gets fun. Building your humble abode is an okay experience, but at the end of the day I didn't care about my home or my things; I just wanted to stop. I was tired of the headache-inducing visuals, ugly lighting, and hard to read pixels.

I genuinely dislike this game's look. Every sprite is so amateur, full of poor color choices/bad color ramps. It's looked like this forever, and I've never liked it. I unabashedly love pixels, but this stuff is unreadable junk nearly all the time. Rotating pixels on an axis to swing a weapon (instead of creating real character animations) looks genuinely awful. Nothing has any weight. Glowing particle effects are used everywhere instead of actual effect animation. Red, yellow, orange particles for fire. Green particles for spells. When combat gets intense, [i]Terraria[/i] is a [i]chore[/i] to look at.

I get that the devs love to make it, but I sure as heck don't like to play it.";
105600;4285521;If you've spent a little over 24 hours on Minecraft in accumulative play, I'd suggest this cause it has a lot of the same aspects but is different all the same.;
105600;1926267;Fun fun fun;
105600;3891650;"sugar
spoice
and something 
NOICE";
105600;2314851;A brilliant game! Its not a rip off of minecraft, Its just brilliant;
105600;1049398;"This game is epic! If Minecraft and Castlevania had a 2D love child, this would be the result. There is a single and multiplayer mode (including PvP!) which will be updated in the future to have several PvP gametypes, such as CTF and team forts. It's due to be updated every couple of weeks with new content (free of charge of course!) so at this price it's an absolute steal. Cannot reccommend any higher!

Update - ""Nominiated for - ""I Thought This Game Was Cool Before It Won An Award"" #shameless

Update - Nominated in 2017, #terraria4lyf

Update - Another nomination edit.

Update - Summer Sale 2019 Objective";
105600;4815759;fun and simple;
105600;786588;Minecraft meets Castlevania. Has an old-school feel, with the mining and building of minecraft combined with NES style side-scrolling action. pretty decent and reasonably priced.;
105600;4730461;amazing game;
105600;3165431;Brilliant! Really fun and really addictive, ifyou value your games for the playtimes, this is one to get, well worth the money, hard to stop playing!;
105600;364888;"Don't think, just buy.
Totally awesome game... Multi is even better!";
105600;4762833;"A game with tons of content, still being updated so long after its release. Very fun metroidvania with a lot of fighting and building possibilities, through the exploration of huge worlds. Hundreds of hours can easily be sunk into each playthrough/character.

Mod support is also very good, and good content is available on the forums.";
105600;1876654;This game seemed really boring at first but once I got better tools, the game started to get interesting.;
105600;1643178;Wait so you are telling me Terraria is like a 2D version of Minecraft but with magic and more shinythings? SCORE!;
105600;3619561;A great game from a great dveloper. It seems like it is constantly being improved, even this long after release. This game can be as relaxing or as manic as you choose.;
105600;1188968;DO IT FAGGOT;
105600;1481657;This game is awesome, if you like Minecraft you'll appreciate this little gem.;
105600;4814716;This is a VEEERRRRRRRYYYYYYYY good game. I've only played this for only 14 hours and it is looking awesome! enough said.;
